,,,,,,,,,,,,,,,,,,,,,,,,,
,KODE AKUN,,PROGRAM/KEG/KOUTPUT/SUBOUTPUT/KOMPONEN/SUBKOMP/DETIL,,,VOL,SAT,H SATUAN,PAGU,REALISASI,,,,SALDO,,,,,,,,,,,
,,,,,,,,,,SP2D,%,AKRURAL,%,SP2D,AKRURAL,,,,,,,,,,
,524111,,Belanja Perjalanan Dinas Biasa,,,,,,158300000,0,,0,,_(* 158300000_),_(* 158300000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Uang Harian Petugas [5 Org x 5 KEG x 3 KL x 1 Lok,,75,OK,430000,32250000,,,,,_(* 32250000_),_(* 32250000_),,,,,,,,,,
,,,  - ,Uang Penginapan Petugas [5 Org x 5 KEG x 2 HR x 1 Lok,,50,OK,891000,44550000,,,,,_(* 44550000_),_(* 44550000_),,,,,,,,,,
,,,  - ,Transport Petugas [5 Org x 5 KEG x 1 Kl x 1 Lok,,25,OK,910000,22750000,,,,,_(* 22750000_),_(* 22750000_),,,,,,,,,,
,,,  - ,Biaya Penginapan Siswa [25 Org x 1 KEG x 2 Kl x 1 Lok,,50,OK,500000,25000000,,,,,_(* 25000000_),_(* 25000000_),,,,,,,,,,
,,,  - ,Transport Pemulangan Libur Jeda Semester dsn Hari Besar Keagamaan [25 Org x 1 KEG x 3 Kl x 1 Lok,,75,OK,450000,33750000,,,,,_(* 33750000_),_(* 33750000_),,,,,,,,,,
,524113,,Belanja Perjalanan Dinas Dalam Kota,,,,,,24000000,3060000,,6810000,,_(* 20940000_),_(* 17190000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Transport Peserta [20 Org x 4 KEG x 2 KL x 1 Lok,,160,OK,150000,24000000,3060000,,6810000,,_(* 20940000_),_(* 17190000_),,,,,,,,,,
,407,,Sekolah Rakyat 1C Terintegrasi 07 Kabupaten Banyuwangi,,,,,,3064496000,53112000,,137854831,,_(* 3011384000_),_(* 2926641169_),,,,,,,,,,
,A,,Kegiatan Belajar Mengajar,,,,,,142640000,0,,2143000,,_(* 142640000_),_(* 140497000_),,,,,,,,,,
